catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
meclizine hcl,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,meclizine hcl,rx_antiemetics_table
scopolamine,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,scopolamine base,rx_antiemetics_table
scopolamine base,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,scopolamine base,rx_antiemetics_table
scopolamine,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,scopolamine hydrobromide,rx_antiemetics_table
trimethobenzamide,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,trimethobenzamide hcl,rx_antiemetics_table
trimethobenzamide hcl,antiemetics,antiemetics - anticholinergic,antiemetics - anticholinergic,trimethobenzamide hcl,rx_antiemetics_table
dextrose-fructose-sod citrate,antiemetics,antiemetics - miscellaneous,antiemetic combinations,dextrose-fructose-sod citrate,rx_antiemetics_table
fructose-dextrose-phosphor acd,antiemetics,antiemetics - miscellaneous,antiemetic combinations,fructose-dextrose-phosphor acd,rx_antiemetics_table
phosphorated carbohydrate solution,antiemetics,antiemetics - miscellaneous,antiemetic combinations,fructose-dextrose-phosphor acd,rx_antiemetics_table
phosphorated carbohyd-caff,antiemetics,antiemetics - miscellaneous,antiemetic combinations,phosphorated carbohyd-caff,rx_antiemetics_table
doxylamine-pyridoxine,antiemetics,antiemetics - miscellaneous,antiemetic combinations,,rx_antiemetics_table
fosnetupitant-palonosetron,antiemetics,antiemetics - miscellaneous,antiemetic combinations,,rx_antiemetics_table
netupitant-palonosetron,antiemetics,antiemetics - miscellaneous,antiemetic combinations,,rx_antiemetics_table
dronabinol,antiemetics,antiemetics - miscellaneous,antiemetics - miscellaneous,dronabinol,rx_antiemetics_table
nabilone,antiemetics,antiemetics - miscellaneous,antiemetics - miscellaneous,nabilone,rx_antiemetics_table
aprepitant,antiemetics,substance p/neurokinin 1 (nk1) receptor antagonists,substance p/neurokinin 1 (nk1) receptor antagonists,aprepitant,rx_antiemetics_table
fosaprepitant,antiemetics,substance p/neurokinin 1 (nk1) receptor antagonists,substance p/neurokinin 1 (nk1) receptor antagonists,fosaprepitant dimeglumine,rx_antiemetics_table
fosaprepitant dimeglumine,antiemetics,substance p/neurokinin 1 (nk1) receptor antagonists,substance p/neurokinin 1 (nk1) receptor antagonists,fosaprepitant dimeglumine,rx_antiemetics_table
rolapitant hcl,antiemetics,substance p/neurokinin 1 (nk1) receptor antagonists,substance p/neurokinin 1 (nk1) receptor antagonists,,rx_antiemetics_table
anidulafungin,antifungals,antifungal - glucan synthesis inhibitors (echinocandins),antifungal - glucan synthesis inhibitors (echinocandins),anidulafungin,rx_antifungals_table
caspofungin,antifungals,antifungal - glucan synthesis inhibitors (echinocandins),antifungal - glucan synthesis inhibitors (echinocandins),caspofungin acetate,rx_antifungals_table
caspofungin acetate,antifungals,antifungal - glucan synthesis inhibitors (echinocandins),antifungal - glucan synthesis inhibitors (echinocandins),caspofungin acetate,rx_antifungals_table
micafungin,antifungals,antifungal - glucan synthesis inhibitors (echinocandins),antifungal - glucan synthesis inhibitors (echinocandins),micafungin sodium,rx_antifungals_table
micafungin sodium,antifungals,antifungal - glucan synthesis inhibitors (echinocandins),antifungal - glucan synthesis inhibitors (echinocandins),micafungin sodium,rx_antifungals_table
amphotericin b,antifungals,antifungals,antifungals,amphotericin b,rx_antifungals_table
amphotericin b lipid,antifungals,antifungals,antifungals,amphotericin b lipid,rx_antifungals_table
amphotericin b lipid complex,antifungals,antifungals,antifungals,amphotericin b lipid,rx_antifungals_table
amphotericin b liposomal,antifungals,antifungals,antifungals,amphotericin b liposome,rx_antifungals_table
amphotericin b liposome,antifungals,antifungals,antifungals,amphotericin b liposome,rx_antifungals_table
flucytosine,antifungals,antifungals,antifungals,flucytosine,rx_antifungals_table
griseofulvin,antifungals,antifungals,antifungals,griseofulvin microsize,rx_antifungals_table
griseofulvin microsize,antifungals,antifungals,antifungals,griseofulvin microsize,rx_antifungals_table
griseofulvin,antifungals,antifungals,antifungals,griseofulvin ultramicrosize,rx_antifungals_table
griseofulvin ultramicrosize,antifungals,antifungals,antifungals,griseofulvin ultramicrosize,rx_antifungals_table
nystatin,antifungals,antifungals,antifungals,nystatin,rx_antifungals_table
terbinafine hcl,antifungals,antifungals,antifungals,terbinafine hcl,rx_antifungals_table
terbinafine oral,antifungals,antifungals,antifungals,terbinafine hcl,rx_antifungals_table
penicillin g potassium,antifungals,antifungals,,,rx_antifungals_table
ketoconazole,antifungals,imidazole-related antifungals,imidazoles,ketoconazole,rx_antifungals_table
miconazole,antifungals,imidazole-related antifungals,imidazoles,miconazole,rx_antifungals_table
fluconazole,antifungals,imidazole-related antifungals,triazoles,fluconazole,rx_antifungals_table
fluconazole,antifungals,imidazole-related antifungals,triazoles,fluconazole in dextrose,rx_antifungals_table
fluconazole in dextrose,antifungals,imidazole-related antifungals,triazoles,fluconazole in dextrose,rx_antifungals_table
fluconazole,antifungals,imidazole-related antifungals,triazoles,fluconazole in sodium chloride,rx_antifungals_table
fluconazole in sodium chloride,antifungals,imidazole-related antifungals,triazoles,fluconazole in sodium chloride,rx_antifungals_table
isavuconazonium sulfate,antifungals,imidazole-related antifungals,triazoles,isavuconazonium sulfate,rx_antifungals_table
itraconazole,antifungals,imidazole-related antifungals,triazoles,itraconazole,rx_antifungals_table
posaconazole,antifungals,imidazole-related antifungals,triazoles,posaconazole,rx_antifungals_table
voriconazole,antifungals,imidazole-related antifungals,triazoles,voriconazole,rx_antifungals_table
adefovir,antivirals,hepatitis agents,hepatitis b agents,adefovir dipivoxil,rx_antihepatitisb_table
adefovir dipivoxil,antivirals,hepatitis agents,hepatitis b agents,adefovir dipivoxil,rx_antihepatitisb_table
entecavir,antivirals,hepatitis agents,hepatitis b agents,entecavir,rx_antihepatitisb_table
telbivudine,antivirals,hepatitis agents,hepatitis b agents,telbivudine,rx_antihepatitisb_table
lamivudine,antivirals,hepatitis agents,hepatitis b agents,,rx_antihepatitisb_table
tenofovir alafenamide fumarate,antivirals,hepatitis agents,hepatitis b agents,,rx_antihepatitisb_table
boceprevir,antivirals,hepatitis agents,hepatitis c agents,boceprevir,rx_antihepatitisc_table
interferon alfacon-1,antivirals,hepatitis agents,hepatitis c agents,interferon alfacon-1,rx_antihepatitisc_table
peginterferon alfa-2a,antivirals,hepatitis agents,hepatitis c agents,peginterferon alfa-2a,rx_antihepatitisc_table
peginterferon alfa-2b,antivirals,hepatitis agents,hepatitis c agents,peginterferon alfa-2b,rx_antihepatitisc_table
ribavirin,antivirals,hepatitis agents,hepatitis c agents,ribavirin,rx_antihepatitisc_table
telaprevir,antivirals,hepatitis agents,hepatitis c agents,telaprevir,rx_antihepatitisc_table
daclatasvir dihydrochloride,antivirals,hepatitis agents,hepatitis c agents,,rx_antihepatitisc_table
simeprevir sodium,antivirals,hepatitis agents,hepatitis c agents,,rx_antihepatitisc_table
sofosbuvir,antivirals,hepatitis agents,hepatitis c agents,,rx_antihepatitisc_table
brompheniramine maleate,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,brompheniramine maleate,rx_antihistamines_table
brompheniramine,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,brompheniramine tannate,rx_antihistamines_table
chlorpheniramine,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,chlorpheniramine maleate,rx_antihistamines_table
chlorpheniramine maleate,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,chlorpheniramine maleate,rx_antihistamines_table
chlorpheniramine,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,chlorpheniramine tannate,rx_antihistamines_table
dexbrompheniramine maleate,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,dexbrompheniramine maleate,rx_antihistamines_table
triprolidine,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,triprolidine hcl,rx_antihistamines_table
triprolidine hcl,antihistamines,antihistamines - alkylamines,antihistamines - alkylamines,triprolidine hcl,rx_antihistamines_table
carbinoxamine,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,carbinoxamine maleate,rx_antihistamines_table
carbinoxamine maleate,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,carbinoxamine maleate,rx_antihistamines_table
clemastine,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,clemastine fumarate,rx_antihistamines_table
clemastine fumarate,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,clemastine fumarate,rx_antihistamines_table
diphenhydramine,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,diphenhydramine hcl,rx_antihistamines_table
diphenhydramine hcl,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,diphenhydramine hcl,rx_antihistamines_table
doxylamine succinate,antihistamines,antihistamines - ethanolamines,antihistamines - ethanolamines,doxylamine succinate,rx_antihistamines_table
cetirizine,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,cetirizine hcl,rx_antihistamines_table
cetirizine hcl,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,cetirizine hcl,rx_antihistamines_table
desloratadine,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,desloratadine,rx_antihistamines_table
fexofenadine,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,fexofenadine hcl,rx_antihistamines_table
fexofenadine hcl,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,fexofenadine hcl,rx_antihistamines_table
levocetirizine,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,levocetirizine dihydrochloride,rx_antihistamines_table
levocetirizine dihydrochloride,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,levocetirizine dihydrochloride,rx_antihistamines_table
loratadine,antihistamines,antihistamines - non-sedating,antihistamines - non-sedating,loratadine,rx_antihistamines_table
promethazine,antihistamines,antihistamines - phenothiazines,antihistamines - phenothiazines,promethazine hcl,rx_antihistamines_table
promethazine hcl,antihistamines,antihistamines - phenothiazines,antihistamines - phenothiazines,promethazine hcl,rx_antihistamines_table
chlorcyclizine hcl,antihistamines,antihistamines - piperazines,antihistamines - piperazines,chlorcyclizine hcl,rx_antihistamines_table
azatadine,antihistamines,antihistamines - piperidines,antihistamines - piperidines,azatadine maleate,rx_antihistamines_table
cyproheptadine,antihistamines,antihistamines - piperidines,antihistamines - piperidines,cyproheptadine hcl,rx_antihistamines_table
cyproheptadine hcl,antihistamines,antihistamines - piperidines,antihistamines - piperidines,cyproheptadine hcl,rx_antihistamines_table
lithium,antipsychotics/antimanic agents,antimanic agents,antimanic agents,lithium carbonate,rx_antipsychmanic_table
lithium carbonate,antipsychotics/antimanic agents,antimanic agents,antimanic agents,lithium carbonate,rx_antipsychmanic_table
lithium,antipsychotics/antimanic agents,antimanic agents,antimanic agents,lithium citrate,rx_antipsychmanic_table
lithium,antipsychotics/antimanic agents,antimanic agents,antimanic agents,,rx_antipsychmanic_table
carbamazepine (antipsychotic),antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,carbamazepine (antipsychotic),rx_antipsychmanic_table
lurasidone,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,lurasidone hcl,rx_antipsychmanic_table
lurasidone hcl,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,lurasidone hcl,rx_antipsychmanic_table
ziprasidone,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,ziprasidone hcl,rx_antipsychmanic_table
ziprasidone hcl,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,ziprasidone hcl,rx_antipsychmanic_table
ziprasidone,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,ziprasidone mesylate,rx_antipsychmanic_table
ziprasidone mesylate,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,ziprasidone mesylate,rx_antipsychmanic_table
cariprazine hcl,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,,rx_antipsychmanic_table
lumateperone tosylate,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,,rx_antipsychmanic_table
pimavanserin tartrate,antipsychotics/antimanic agents,antipsychotics - misc.,antipsychotics - misc.,,rx_antipsychmanic_table
iloperidone,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,iloperidone,rx_antipsychmanic_table
paliperidone,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,paliperidone,rx_antipsychmanic_table
paliperidone,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,paliperidone palmitate,rx_antipsychmanic_table
paliperidone palmitate,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,paliperidone palmitate,rx_antipsychmanic_table
risperidone,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,risperidone,rx_antipsychmanic_table
risperidone odt,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,risperidone,rx_antipsychmanic_table
risperidone,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,risperidone microspheres,rx_antipsychmanic_table
risperidone microspheres,antipsychotics/antimanic agents,benzisoxazoles,benzisoxazoles,risperidone microspheres,rx_antipsychmanic_table
haloperidol,antipsychotics/antimanic agents,butyrophenones,butyrophenones,haloperidol,rx_antipsychmanic_table
haloperidol,antipsychotics/antimanic agents,butyrophenones,butyrophenones,haloperidol decanoate,rx_antipsychmanic_table
haloperidol decanoate,antipsychotics/antimanic agents,butyrophenones,butyrophenones,haloperidol decanoate,rx_antipsychmanic_table
haloperidol,antipsychotics/antimanic agents,butyrophenones,butyrophenones,haloperidol lactate,rx_antipsychmanic_table
haloperidol lactate,antipsychotics/antimanic agents,butyrophenones,butyrophenones,haloperidol lactate,rx_antipsychmanic_table
asenapine,antipsychotics/antimanic agents,dibenzapines,dibenzo-oxepino pyrroles,asenapine maleate,rx_antipsychmanic_table
asenapine maleate,antipsychotics/antimanic agents,dibenzapines,dibenzo-oxepino pyrroles,asenapine maleate,rx_antipsychmanic_table
asenapine,antipsychotics/antimanic agents,dibenzapines,dibenzo-oxepino pyrroles,,rx_antipsychmanic_table
clozapine,antipsychotics/antimanic agents,dibenzapines,dibenzodiazepines,clozapine,rx_antipsychmanic_table
quetiapine,antipsychotics/antimanic agents,dibenzapines,dibenzothiazepines,quetiapine fumarate,rx_antipsychmanic_table
quetiapine fumarate,antipsychotics/antimanic agents,dibenzapines,dibenzothiazepines,quetiapine fumarate,rx_antipsychmanic_table
loxapine,antipsychotics/antimanic agents,dibenzapines,dibenzoxazepines,loxapine succinate,rx_antipsychmanic_table
loxapine succinate,antipsychotics/antimanic agents,dibenzapines,dibenzoxazepines,loxapine succinate,rx_antipsychmanic_table
loxapine,antipsychotics/antimanic agents,dibenzapines,dibenzoxazepines,,rx_antipsychmanic_table
olanzapine,antipsychotics/antimanic agents,dibenzapines,thienbenzodiazepines,olanzapine,rx_antipsychmanic_table
olanzapine,antipsychotics/antimanic agents,dibenzapines,thienbenzodiazepines,olanzapine pamoate,rx_antipsychmanic_table
olanzapine pamoate,antipsychotics/antimanic agents,dibenzapines,thienbenzodiazepines,olanzapine pamoate,rx_antipsychmanic_table
molindone,antipsychotics/antimanic agents,dihydroindolones,dihydroindolones,molindone hcl,rx_antipsychmanic_table
